Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
73,US-2023-100072,2015-01-12,2015-01-19,Standard Class,AB-10011,Corporate,United States,California,20787,East,FUR-TA-100977,Office Supplies,Binders,Binders Product 14,313.99,11,0.4,-27.2
74,US-2023-100073,2015-01-13,2015-01-16,Standard Class,AB-10035,Home Office,United States,Washington,68859,Central,FUR-TA-100536,Furniture,Bookcases,Bookcases Product 12,1022.64,14,0.5,-12.82
75,US-2023-100074,2015-01-13,2015-01-20,Standard Class,AB-10048,Consumer,United States,Pennsylvania,17672,Central,FUR-TA-100470,Technology,Machines,Machines Product 14,6332.09,3,0.1,1227.07
76,US-2023-100075,2015-01-13,2015-01-16,Standard Class,AB-10072,Corporate,United States,California,59234,East,FUR-TA-100767,Office Supplies,Storage,Storage Product 3,526.44,7,0.3,105.63
77,US-2023-100076,2015-01-13,2015-01-15,Same Day,AB-10026,Home Office,United States,Texas,45665,Central,FUR-TA-100867,Office Supplies,Art,Art Product 7,23.49,2,0.0,1.04
78,US-2023-100077,2015-01-13,2015-01-16,First Class,AB-10043,Consumer,United States,New York,63477,West,FUR-TA-100743,Office Supplies,Supplies,Supplies Product 4,347.46,11,0.4,72.28
79,US-2023-100078,2015-01-13,2015-01-18,Second Class,AB-10028,Home Office,United States,Pennsylvania,80735,West,FUR-TA-100755,Office Supplies,Appliances,Appliances Product 2,639.73,11,0.5,25.19
80,US-2023-100079,2015-01-13,2015-01-16,Standard Class,AB-10071,Consumer,United States,New York,78618,South,FUR-TA-100270,Technology,Machines,Machines Product 44,7473.09,12,0.4,1028.69
81,US-2023-100080,2015-01-14,2015-01-19,Second Class,AB-10041,Home Office,United States,New York,96607,West,FUR-TA-100847,Office Supplies,Binders,Binders Product 34,627.71,5,0.1,108.17
82,US-2023-100081,2015-01-14,2015-01-17,Standard Class,AB-10059,Consumer,United States,Washington,37606,South,FUR-TA-100419,Office Supplies,Appliances,Appliances Product 44,1330.8,9,0.7,529.32
83,US-2023-100082,2015-01-14,2015-01-19,Same Day,AB-10095,Corporate,United States,New York,11097,West,FUR-TA-100839,Technology,Machines,Machines Product 41,7086.58,14,0.5,-83.53
84,US-2023-100083,2015-01-14,2015-01-17,Same Day,AB-10054,Home Office,United States,Texas,10620,West,FUR-TA-100979,Office Supplies,Labels,Labels Product 23,96.71,7,0.3,20.27
85,US-2023-100084,2015-01-14,2015-01-19,Second Class,AB-10063,Home Office,United States,Washington,34035,West,FUR-TA-100642,Office Supplies,Art,Art Product 33,124.85,14,0.0,30.86
86,US-2023-100085,2015-01-14,2015-01-19,Standard Class,AB-10091,Home Office,United States,New York,37117,West,FUR-TA-100178,Furniture,Tables,Tables Product 37,2166.73,14,0.4,1003.73
87,US-2023-100086,2015-01-14,2015-01-19,Standard Class,AB-10097,Consumer,United States,Texas,18358,Central,FUR-TA-100108,Technology,Machines,Machines Product 22,2093.44,13,0.7,728.38
88,US-2023-100087,2015-01-15,2015-01-18,First Class,AB-10010,Consumer,United States,Pennsylvania,95843,South,FUR-TA-100583,Office Supplies,Envelopes,Envelopes Product 44,5.0,3,0.7,1.11
89,US-2023-100088,2015-01-15,2015-01-22,First Class,AB-10075,Home Office,United States,California,28512,South,FUR-TA-100901,Office Supplies,Supplies,Supplies Product 27,12.44,2,0.7,-2.13
90,US-2023-100089,2015-01-15,2015-01-20,Same Day,AB-10049,Consumer,United States,Texas,77693,Central,FUR-TA-100494,Office Supplies,Supplies,Supplies Product 28,874.41,10,0.7,168.17
91,US-2023-100090,2015-01-15,2015-01-18,First Class,AB-10033,Corporate,United States,Pennsylvania,67774,West,FUR-TA-100262,Furniture,Furnishings,Furnishings Product 47,712.36,9,0.3,204.27
92,US-2023-100091,2015-01-15,2015-01-22,First Class,AB-10061,Home Office,United States,Pennsylvania,77611,East,FUR-TA-100255,Office Supplies,Labels,Labels Product 8,148.0,9,0.0,-6.41
93,US-2023-100092,2015-01-16,2015-01-21,Same Day,AB-10011,Corporate,United States,Pennsylvania,14992,East,FUR-TA-100959,Furniture,Tables,Tables Product 39,807.11,9,0.3,-7.92
94,US-2023-100093,2015-01-16,2015-01-21,Standard Class,AB-10070,Home Office,United States,California,48435,East,FUR-TA-100238,Office Supplies,Envelopes,Envelopes Product 4,204.48,10,0.2,80.3
95,US-2023-100094,2015-01-16,2015-01-18,First Class,AB-10036,Home Office,United States,New York,46824,South,FUR-TA-100393,Office Supplies,Appliances,Appliances Product 21,71.23,3,0.4,21.9
96,US-2023-100095,2015-01-16,2015-01-21,Second Class,AB-10075,Home Office,United States,New York,78960,Central,FUR-TA-100453,Office Supplies,Art,Art Product 19,5.0,1,0.5,-0.54
97,US-2023-100096,2015-01-16,2015-01-18,First Class,AB-10096,Corporate,United States,New York,94529,East,FUR-TA-100498,Office Supplies,Fasteners,Fasteners Product 39,17.72,9,0.0,2.2
98,US-2023-100097,2015-01-16,2015-01-21,Same Day,AB-10042,Consumer,United States,Texas,64612,West,FUR-TA-100332,Technology,Copiers,Copiers Product 2,3208.64,7,0.1,379.86
99,US-2023-100098,2015-01-16,2015-01-21,Second Class,AB-10043,Corporate,United States,California,31213,South,FUR-TA-100968,Office Supplies,Labels,Labels Product 31,35.11,2,0.1,12.57
100,US-2023-100099,2015-01-16,2015-01-21,Same Day,AB-10071,Corporate,United States,Washington,21391,East,FUR-TA-100292,Furniture,Chairs,Chairs Product 20,364.46,6,0.0,134.75
101,US-2023-100100,2015-01-17,2015-01-19,Second Class,AB-10041,Corporate,United States,California,27073,South,FUR-TA-100789,Furniture,Tables,Tables Product 42,1107.26,11,0.1,183.14
102,US-2023-100101,2015-01-17,2015-01-24,Standard Class,AB-10012,Home Office,United States,Washington,17318,Central,FUR-TA-100237,Office Supplies,Supplies,Supplies Product 31,187.55,9,0.4,-5.74
103,US-2023-100102,2015-01-17,2015-01-20,First Class,AB-10064,Consumer,United States,Pennsylvania,18884,East,FUR-TA-100116,Technology,Phones,Phones Product 3,1506.24,8,0.3,84.68
104,US-2023-100103,2015-01-17,2015-01-22,First Class,AB-10036,Consumer,United States,New York,67042,East,FUR-TA-100433,Technology,Copiers,Copiers Product 23,17067.7,11,0.1,-2586.2
105,US-2023-100104,2015-01-17,2015-01-22,Second Class,AB-10085,Consumer,United States,Washington,44441,West,FUR-TA-100356,Technology,Accessories,Accessories Product 8,1204.07,12,0.0,-136.88
106,US-2023-100105,2015-01-17,2015-01-22,Same Day,AB-10017,Consumer,United States,New York,39455,South,FUR-TA-100110,Office Supplies,Binders,Binders Product 41,207.7,6,0.4,109.01
107,US-2023-100106,2015-01-17,2015-01-20,Same Day,AB-10029,Corporate,United States,California,83537,East,FUR-TA-100780,Office Supplies,Paper,Paper Product 10,142.97,6,0.5,10.6
108,US-2023-100107,2015-01-17,2015-01-20,Second Class,AB-10061,Consumer,United States,New York,49337,West,FUR-TA-100845,Office Supplies,Labels,Labels Product 10,35.98,8,0.7,2.72
109,US-2023-100108,2015-01-17,2015-01-20,First Class,AB-10026,Corporate,United States,New York,60265,Central,FUR-TA-100358,Furniture,Tables,Tables Product 11,567.37,9,0.7,56.53
110,US-2023-100109,2015-01-18,2015-01-23,Second Class,AB-10042,Corporate,United States,Texas,69652,East,FUR-TA-100372,Furniture,Bookcases,Bookcases Product 9,4641.25,8,0.1,635.42
111,US-2023-100110,2015-01-18,2015-01-21,Standard Class,AB-10064,Consumer,United States,Washington,24045,Central,FUR-TA-100419,Technology,Accessories,Accessories Product 16,211.46,1,0.0,38.67
112,US-2023-100111,2015-01-18,2015-01-23,First Class,AB-10084,Consumer,United States,Texas,27828,Central,FUR-TA-100443,Furniture,Bookcases,Bookcases Product 42,107.02,2,0.2,-2.16
113,US-2023-100112,2015-01-19,2015-01-24,Same Day,AB-10082,Corporate,United States,California,31077,Central,FUR-TA-100711,Furniture,Furnishings,Furnishings Product 32,1030.01,6,0.3,357.94
114,US-2023-100113,2015-01-19,2015-01-21,Standard Class,AB-10080,Consumer,United States,Pennsylvania,67778,West,FUR-TA-100772,Furniture,Bookcases,Bookcases Product 19,4253.05,8,0.5,91.67
115,US-2023-100114,2015-01-19,2015-01-22,Standard Class,AB-10025,Home Office,United States,Pennsylvania,90337,East,FUR-TA-100643,Technology,Machines,Machines Product 28,6550.39,4,0.0,-893.2
116,US-2023-100115,2015-01-19,2015-01-22,First Class,AB-10088,Consumer,United States,New York,67692,Central,FUR-TA-100469,Office Supplies,Appliances,Appliances Product 29,692.14,12,0.3,-59.91
117,US-2023-100116,2015-01-19,2015-01-22,Same Day,AB-10073,Consumer,United States,Pennsylvania,98466,Central,FUR-TA-100446,Office Supplies,Binders,Binders Product 12,354.49,4,0.2,41.88
118,US-2023-100117,2015-01-19,2015-01-24,First Class,AB-10097,Home Office,United States,Texas,11795,East,FUR-TA-100274,Technology,Machines,Machines Product 18,6171.48,13,0.4,1595.42
119,US-2023-100118,2015-01-19,2015-01-24,Second Class,AB-10049,Consumer,United States,New York,97495,Central,FUR-TA-100526,Office Supplies,Envelopes,Envelopes Product 32,5.0,2,0.7,1.2
120,US-2023-100119,2015-01-19,2015-01-24,Standard Class,AB-10067,Consumer,United States,New York,11306,West,FUR-TA-100436,Office Supplies,Fasteners,Fasteners Product 23,178.94,10,0.4,55.84
121,US-2023-100120,2015-01-19,2015-01-21,First Class,AB-10092,Consumer,United States,Washington,52806,South,FUR-TA-100226,Furniture,Furnishings,Furnishings Product 22,29.18,1,0.3,-2.01
122,US-2023-100121,2015-01-19,2015-01-26,First Class,AB-10032,Consumer,United States,New York,23803,South,FUR-TA-100692,Furniture,Tables,Tables Product 5,518.32,10,0.7,164.49
123,US-2023-100122,2015-01-19,2015-01-22,Standard Class,AB-10016,Consumer,United States,Pennsylvania,82288,Central,FUR-TA-100213,Technology,Copiers,Copiers Product 8,20471.61,9,0.1,3985.67
124,US-2023-100123,2015-01-19,2015-01-22,Second Class,AB-10068,Consumer,United States,Washington,55830,East,FUR-TA-100849,Office Supplies,Appliances,Appliances Product 36,2081.64,7,0.0,149.93
125,US-2023-100124,2015-01-19,2015-01-24,Same Day,AB-10068,Home Office,United States,Texas,16211,East,FUR-TA-100668,Office Supplies,Envelopes,Envelopes Product 17,269.71,9,0.5,2.16
126,US-2023-100125,2015-01-20,2015-01-27,First Class,AB-10012,Consumer,United States,Pennsylvania,16169,East,FUR-TA-100949,Office Supplies,Supplies,Supplies Product 7,1250.25,13,0.3,-23.2
127,US-2023-100126,2015-01-20,2015-01-23,Standard Class,AB-10039,Home Office,United States,Pennsylvania,34652,South,FUR-TA-100686,Office Supplies,Paper,Paper Product 44,45.25,2,0.3,9.05
128,US-2023-100127,2015-01-20,2015-01-25,Standard Class,AB-10019,Corporate,United States,Pennsylvania,16346,Central,FUR-TA-100140,Furniture,Bookcases,Bookcases Product 44,3070.44,10,0.2,400.33
129,US-2023-100128,2015-01-21,2015-01-28,Second Class,AB-10022,Corporate,United States,Texas,35894,East,FUR-TA-100559,Furniture,Tables,Tables Product 38,19326.43,13,0.0,-2948.91
130,US-2023-100129,2015-01-21,2015-01-26,First Class,AB-10048,Home Office,United States,Washington,18826,Central,FUR-TA-100590,Furniture,Bookcases,Bookcases Product 30,193.91,5,0.3,14.52
131,US-2023-100130,2015-01-21,2015-01-22,Standard Class,AB-10086,Consumer,United States,Washington,52984,West,FUR-TA-100264,Office Supplies,Binders,Binders Product 47,196.95,2,0.0,11.05
132,US-2023-100131,2015-01-21,2015-01-28,Second Class,AB-10073,Home Office,United States,Pennsylvania,18168,South,FUR-TA-100685,Technology,Copiers,Copiers Product 29,5379.21,10,0.4,1599.3
133,US-2023-100132,2015-01-21,2015-01-26,First Class,AB-10034,Home Office,United States,New York,70352,Central,FUR-TA-100114,Office Supplies,Art,Art Product 3,657.77,7,0.3,113.28
134,US-2023-100133,2015-01-21,2015-01-26,Same Day,AB-10050,Home Office,United States,New York,96368,West,FUR-TA-100285,Furniture,Bookcases,Bookcases Product 35,2936.15,9,0.2,165.85
135,US-2023-100134,2015-01-21,2015-01-26,Same Day,AB-10049,Home Office,United States,Pennsylvania,74901,South,FUR-TA-100285,Office Supplies,Appliances,Appliances Product 34,79.82,3,0.0,0.1
136,US-2023-100135,2015-01-21,2015-01-28,First Class,AB-10071,Home Office,United States,New York,28316,East,FUR-TA-100494,Technology,Accessories,Accessories Product 27,1419.65,14,0.5,227.64
137,US-2023-100136,2015-01-21,2015-01-26,First Class,AB-10049,Consumer,United States,Texas,26016,West,FUR-TA-100837,Furniture,Bookcases,Bookcases Product 15,402.04,1,0.1,9.93
138,US-2023-100137,2015-01-21,2015-01-23,First Class,AB-10043,Corporate,United States,Washington,82527,South,FUR-TA-100589,Furniture,Chairs,Chairs Product 8,67.73,4,0.7,-6.64
139,US-2023-100138,2015-01-21,2015-01-26,First Class,AB-10088,Home Office,United States,Texas,34869,Central,FUR-TA-100454,Office Supplies,Storage,Storage Product 32,5.0,4,0.7,0.86
140,US-2023-100139,2015-01-21,2015-01-22,Second Class,AB-10012,Consumer,United States,Pennsylvania,23653,South,FUR-TA-100235,Office Supplies,Storage,Storage Product 8,828.42,11,0.2,89.82
141,US-2023-100140,2015-01-22,2015-01-25,Standard Class,AB-10061,Home Office,United States,New York,72760,South,FUR-TA-100130,Office Supplies,Fasteners,Fasteners Product 40,19.9,6,0.4,1.84
142,US-2023-100141,2015-01-22,2015-01-27,Second Class,AB-10055,Home Office,United States,Pennsylvania,76305,West,FUR-TA-100975,Technology,Accessories,Accessories Product 9,848.07,5,0.3,110.68
143,US-2023-100142,2015-01-22,2015-01-25,Standard Class,AB-10095,Home Office,United States,Texas,29328,West,FUR-TA-100864,Technology,Accessories,Accessories Product 25,291.23,12,0.3,58.87
